MUNICIPIOS,VIGENCIA,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO DE LA COSECHA Kg,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS S,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS C,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CACHAMA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CACHAMA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS PRODUCCIÒN EN ESTANQUES CARPA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CARPA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES TRUCHA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES TRUCHA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES BOCACHICO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES BOCACHICO PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES SABALO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES SABALO PESO PROM UNIDAD (Gs),PRODUCCIÒN TOTAL PESO DE LA COSECHA Kg,PRODUCCIÒN TOTAL No. ALEVINOS S,PRODUCCIÒN TOTAL No. ALEVINOS C
Oporapa,2014,0,0,0,0,3.500,12.000,10.000,350,280,550,512,547,315,650,605,521,1.500,2.800,2.604,576,0,0,0,0,0,0,0,0,0,0,0,0,5.595,16.000,13.720
Palestina,2014,0,0,0,0,2.500,8.500,7.500,333,0,0,0,0,245,510,474,517,5.350,14.200,13.250,404,0,0,0,0,0,0,0,0,0,0,0,0,8.095,23.210,21.224
Saladoblanco,2014,0,0,0,0,600,2.000,1.850,324,78,150,140,559,35,100,93,376,500,1.200,1.116,448,0,0,0,0,0,0,0,0,0,0,0,0,1.213,3.450,3.199
San Agustín,2014,0,0,0,0,3.500,10.500,9.500,368,425,700,620,685,100,210,195,512,4.500,13.250,10.850,415,0,0,0,0,0,0,0,0,120,280,258,466,8.645,24.940,21.423
Timaná,2014,0,0,0,0,18.000,56.500,53.000,340,3.126,5.200,4.836,646,0,0,0,0,4.700,12.500,10.200,461,0,0,0,0,0,0,0,0,1.250,3.850,3.542,353,27.076,78.050,71.578
Neiva,2015,0,0,0,0,1.100.000,4.400.000,3.168.000,347,650.000,1.100.000,935.000,695,0,0,0,0,3.500,7.000,6.500,538,0,0,0,0,0,0,0,0,1.500,3.000,2.400,625,1.755.000,5.510.000,4.111.900
Aipe,2015,0,0,0,0,2.854.000,8.965.000,8.100.000,352,855.000,1.400.000,1.120.000,763,0,0,0,0,0,0,0,0,0,0,0,0,1.800,4.100,3.500,514,150.000,487.000,340.000,441,3.860.800,10.856.100,9.563.500
Algeciras,2015,0,0,0,0,56.000,185.000,148.000,378,25.200,32.000,25.600,984,2.500,2.500,2.100,1190,2.530,7.500,7.000,361,0,0,0,0,0,0,0,0,5.720,16.250,14.300,400,91.950,243.250,197.000
Baraya,2015,0,0,0,0,275.000,865.000,774.000,355,45.600,65.000,52.000,877,85,110,80,1063,0,0,0,0,0,0,0,0,0,0,0,0,3.380,6.500,5.200,650,324.065,936.610,831.280
Campoalegre,2015,12.937.032,38.446.019,21.632.374,598,650.000,2.400.000,1.728.000,376,115.000,165.000,140.250,820,3.500,3.800,3.040,1151,0,0,0,0,0,0,0,0,2.720,9.600,8.000,340,600,1.250,1.000,600,13.708.852,41.025.669,23.512.664
Colombia,2015,0,0,0,0,8.500,30.000,25.000,340,6.500,9.000,7.650,850,0,0,0,0,1.800,3.500,3.150,571,0,0,0,0,0,0,0,0,0,0,0,0,16.800,42.500,35.800
Hobo,2015,1.772.000,4.260.000,1.639.500,1.081,425.000,1.600.000,1.152.000,369,75.600,102.000,86.700,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272.600,5.962.000,2.878.200
Iquira,2015,0,0,0,0,15.000,50.000,42.000,357,2.500,7.500,6.000,417,0,0,0,0,4.500,12.000,10.800,417,0,0,0,0,0,0,0,0,215,500,450,478,22.215,70.000,59.250
Palermo,2015,0,0,0,0,550.000,2.100.000,1.512.000,364,85.000,115.000,97.750,870,0,0,0,0,0,0,0,0,0,0,0,0,2.500,7.500,6.850,365,650,1.300,1.196,543,638.150,2.223.800,1.617.796
Rivera,2015,0,0,0,0,485.000,1.785.000,1.285.200,377,105.000,190.000,161.500,650,18.000,18.500,14.800,1216,0,0,0,0,0,0,0,0,2.871,9.500,8.700,330,4.500,9.000,7.200,625,615.371,2.012.000,1.477.400
Santa Maria,2015,0,0,0,0,1.650,5.500,4.850,340,0,0,0,0,0,0,0,0,8.500,20.000,18.000,472,0,0,0,0,0,0,0,0,0,0,0,0,10.150,25.500,22.850
Tello,2015,0,0,0,0,6.500,22.500,19.500,333,2.856,6.250,3.050,936,0,0,0,0,0,0,0,0,0,0,0,0,1.500,4.650,4.000,375,600,1.300,1.254,478,11.456,34.700,27.804
Teruel,2015,0,0,0,0,3.000,10.000,9.000,333,1.500,2.200,2.000,750,0,0,0,0,4.000,8.150,7.450,537,0,0,0,0,0,0,0,0,1.250,1.800,2.500,500,9.750,22.150,20.950
Villavieja,2015,0,0,0,0,3.600,15.000,12.000,300,1.850,3.500,2.450,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.450,18.500,14.450
Yaguará ,2015,11.136.742,33.501.976,19.196.844,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.136.742,33.501.976,19.196.844
La PLata,2015,0,0,0,0,45.000,135.000,121.500,370,23.000,32.000,26.240,877,2.500,3.600,3.100,806,7.500,20.000,15.000,500,5.000,18.000,15.000,333,60,150,130,462,1.500,2.800,2.500,600,84.560,211.550,183.470
La Argentina,2015,0,0,0,0,25.000,75.000,67.800,369,4.334,10.000,9.300,466,1.400,3.000,2.800,500,6.500,15.000,12.500,520,1.115,4.000,3.300,338,0,0,0,0,700,1.500,1.380,507,39.049,108.500,97.080
Nátaga,2015,0,0,0,0,4.200,14.000,12.000,350,2.250,5.500,5.000,450,225,500,450,500,0,0,0,0,800,2.500,2.300,348,230,1.200,800,288,2.488,7.000,6.380,390,10.193,30.700,26.930
Paicol,2015,0,0,0,0,15.600,52.000,45.000,347,12.500,20.000,18.600,672,1.200,2.000,1.860,645,0,0,0,0,0,0,0,0,0,0,0,0,500,1.500,1.380,362,29.800,75.500,66.840
Tesalia,2015,0,0,0,0,26.000,95.000,68.400,380,8.500,12.000,11.160,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,1.100,1.000,850,35.350,108.100,80.560
Garzón,2015,0,0,0,0,2.130.000,6.500.000,5.525.000,386,285.000,450.000,382.500,745,0,0,0,0,12.800,30.000,26.000,492,0,0,0,0,58.725,140.000,135.000,435,12.500,30.000,28.000,446,2.499.025,7.150.000,6.096.500
Agrado,2015,0,0,0,0,5.400,18.000,15.000,360,14.500,25.000,18.000,806,0,0,0,0,0,0,0,0,0,0,0,0,500,1.000,760,658,0,0,0,0,20.400,44.000,33.760
Altamira,2015,0,0,0,0,2.500,9.000,7.500,333,4.000,4.500,4.000,1000,2.800,3.500,2.800,1000,0,0,0,0,1.000,2.850,2.500,400,0,0,0,0,0,0,0,0,10.300,19.850,16.800
Gigante,2015,0,0,0,0,265.000,860.000,688.000,385,145.000,310.000,287.000,505,500,1.300,1.000,500,0,0,0,0,0,0,0,0,6.000,18.700,15.000,400,26.000,78.000,72.000,361,442.500,1.268.000,1.063.000
Guadalupe,2015,0,0,0,0,45.000,156.000,124.800,361,18.000,26.000,23.000,783,0,0,0,0,0,0,0,0,7.400,18.000,16.500,448,450,1.000,700,643,2.300,3.000,2.800,821,73.150,204.000,167.800
Pital,2015,0,0,0,0,13.500,40.000,37.400,361,2.950,7.200,6.500,454,0,0,0,0,3.500,7.500,7.000,500,4.000,12.500,11.500,348,0,0,0,0,0,0,0,0,23.950,67.200,62.400
Suaza,2015,0,0,0,0,15.800,52.000,45.000,351,9.000,24.000,21.120,426,408,1.000,850,480,6.800,14.000,12.000,567,0,0,0,0,0,0,0,0,1.150,3.000,2.760,417,33.158,94.000,81.730
Tarqui,2015,0,0,0,0,12.500,45.000,36.000,347,4.500,8.500,7.225,623,0,0,0,0,0,0,0,0,0,0,0,0,2.400,3.500,3.000,800,900,2.500,2.300,391,20.300,59.500,48.525
Pitalito,2015,0,0,0,0,132.000,450.000,360.000,367,45.000,65.000,55.250,814,3.600,3.800,3.400,1059,48.500,102.000,89.760,540,0,0,0,0,250,500,460,543,2.500,7.500,6.900,362,231.850,628.800,515.770
Acevedo,2015,0,0,0,0,3.500,12.000,9.800,357,0,0,0,0,45,60,50,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.545,12.060,9.850
Elias,2015,0,0,0,0,1.200,3.200,2.900,414,2.563,5.200,4.836,530,100,150,140,703,350,850,723,484,0,0,0,0,12,40,37,326,0,0,0,0,4.225,9.440,8.635
Isnos,2015,0,0,0,0,2.150,7.000,6.500,331,0,0,0,0,300,320,298,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.450,7.320,6.798
Oporapa,2015,0,0,0,0,3.500,12.000,10.000,350,280,550,512,547,315,650,605,521,2.000,4.000,3.720,538,0,0,0,0,0,0,0,0,0,0,0,0,6.095,17.200,14.836
Palestina,2015,0,0,0,0,2.500,8.500,7.500,333,0,0,0,0,245,510,474,517,6.500,14.200,13.200,492,0,0,0,0,0,0,0,0,0,0,0,0,9.245,23.210,21.174
Saladoblanco,2015,0,0,0,0,600,2.000,1.850,324,78,150,140,559,60,100,93,645,1.500,3.000,2.790,538,0,0,0,0,0,0,0,0,0,0,0,0,2.238,5.250,4.873
San Agustín,2015,0,0,0,0,3.800,10.500,9.500,400,425,700,620,685,150,210,195,768,4.870,13.250,10.850,449,0,0,0,0,0,0,0,0,120,280,258,466,9.365,24.940,21.423
Timaná,2015,0,0,0,0,50.000,175.000,140.000,357,4.350,7.500,6.700,649,0,0,0,0,4.700,12.500,10.200,461,0,0,0,0,0,0,0,0,1.250,3.850,3.542,353,60.300,198.850,160.442
Neiva,2016,0,0,0,0,2.160.000,6.000.000,4.800.000,450,335.350,800.000,745.000,450,11.000,25.000,22.000,500,4.690,8.700,6.700,700,0,0,0,0,6.500,16.000,13.000,500,1.300,4.000,2.600,500,2.518.840,6.853.700,5.589.300
Aipe,2016,0,0,0,0,3.256.000,11.450.000,9.250.000,352,915.600,1.980.000,1.200.000,763,0,0,0,0,0,0,0,0,0,0,0,0,1.750,4.000,3.500,500,94.340,220.000,178.000,530,4.267.690,13.654.000,10.631.500
Algeciras,2016,0,0,0,0,74.775,248.000,199.400,375,11.600,12.500,11.600,1000,1.800,2.000,1.800,1000,8.000,20.000,16.000,500,0,0,0,0,1.350,3.000,2.700,500,2.250,5.000,4.500,500,99.775,290.500,236.000
Baraya,2016,0,0,0,0,278.320,850.000,784.000,355,40.800,70.000,51.000,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.700,5.600,4.500,600,321.820,925.600,839.500
Campoalegre,2016,11.650.000,35.400.000,19.854.000,587,650.000,2.400.000,1.728.000,376,115.000,165.000,140.250,820,3.500,3.800,3.040,1151,0,0,0,0,0,0,0,0,2.720,9.600,8.000,340,600,1.250,1.000,600,12.421.820,37.979.650,21.734.290
Colombia,2016,0,0,0,0,1.880,6.500,4.500,418,450,1.500,1.000,450,0,0,0,0,2.000,3.700,3.330,601,0,0,0,0,0,0,0,0,0,0,0,0,4.330,11.700,8.830
Hobo,2016,1.856.000,4.560.000,1.984.500,935,462.500,2.000.000,1.250.000,370,71.400,100.000,84.000,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.389.900,6.660.000,3.318.500
Iquira,2016,0,0,0,0,14.060,45.000,38.000,370,5.800,7.200,5.800,1000,0,0,0,0,5.440,8.600,6.800,800,0,0,0,0,0,0,0,0,0,0,0,0,25.300,60.800,50.600
Palermo,2016,0,0,0,0,814.000,2.900.000,2.200.000,370,64.000,100.000,85.000,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878.000,3.000.000,2.285.000
Rivera,2016,0,0,0,0,657.000,1.860.000,1.420.000,463,105.000,190.000,161.500,650,18.000,18.500,14.800,1216,0,0,0,0,0,0,0,0,2.871,9.500,8.700,330,4.500,9.000,7.200,625,787.371,2.087.000,1.612.200
Santa Maria,2016,0,0,0,0,4.480,15.000,11.200,400,0,0,0,0,0,0,0,0,10.100,25.000,21.400,472,0,0,0,0,0,0,0,0,0,0,0,0,14.580,40.000,32.600
Tello,2016,0,0,0,0,8.140,28.000,22.000,370,5.400,7.000,5.400,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.150,2.000,1.150,1000,14.690,37.000,28.550
Teruel,2016,0,0,0,0,3.500,14.000,9.600,365,0,0,0,0,0,0,0,0,10.780,16.500,15.400,700,0,0,0,0,0,0,0,0,1.250,3.500,2.500,500,15.530,34.000,27.500
Villavieja,2016,0,0,0,0,4.200,19.000,12.000,350,1.850,3.500,2.450,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.050,22.500,14.450
Yaguará ,2016,9.484.000,34.500.000,17.549.000,540,163.200,640.000,540.000,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.647.200,35.140.000,18.089.000
La PLata,2016,0,0,0,0,85.400,300.000,243.000,351,23.000,35.000,28.700,801,2.500,3.600,3.100,806,7.540,22.000,16.500,457,5.610,20.000,17.000,330,100,230,200,500,1.480,3.000,2.670,554,125.630,383.830,311.170
La Argentina,2016,0,0,0,0,25.086,75.000,67.800,370,4.334,10.000,9.300,466,1.400,3.000,2.800,500,6.500,15.000,12.500,520,1.115,4.000,3.300,338,0,0,0,0,700,1.500,1.380,507,39.135,108.500,97.080
Nátaga,2016,0,0,0,0,4.500,14.000,11.200,402,2.050,6.000,4.700,436,200,500,350,571,0,0,0,0,800,2.500,2.300,348,230,1.200,500,460,300,1.200,500,600,8.080,25.400,19.550
Paicol,2016,0,0,0,0,14.620,60.000,43.000,340,6.300,15.000,14.000,450,1.950,5.600,3.900,500,0,0,0,0,0,0,0,0,1.960,7.800,5.600,350,0,0,0,0,24.830,88.400,66.500
Tesalia,2016,0,0,0,0,9.700,100.800,30.240,321,600,5.000,1.500,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.300,105.800,31.740
Garzón,2016,0,0,0,0,2.250.000,6.750.000,5.625.000,400,380.000,480.000,380.000,1000,0,0,0,0,15.200,30.000,26.000,585,0,0,0,0,62.000,150.000,125.000,496,16.000,25.000,20.000,800,2.723.200,7.435.000,6.176.000
Agrado,2016,0,0,0,0,3.987,12.000,9.500,420,3.600,4.500,4.000,900,0,0,0,0,0,0,0,0,0,0,0,0,2.400,3.500,3.000,800,0,0,0,0,9.987,20.000,16.500
Altamira,2016,0,0,0,0,5.760,48.000,19.200,300,4.000,4.500,4.000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.760,52.500,23.200
Gigante,2016,0,0,0,0,1.080.000,3.200.000,2.700.000,400,143.500,310.000,287.000,500,0,0,0,0,0,0,0,0,160.000,500.000,400.000,400,36.900,100.000,82.000,450,28.800,78.000,72.000,400,1.449.200,4.188.000,3.541.000
Guadalupe,2016,0,0,0,0,187.400,650.000,487.000,385,101.000,250.000,200.000,505,450,1.200,900,500,3.060,7.500,6.800,450,7.840,19.000,17.500,448,514,1.100,800,643,2.700,3.500,3.300,818,302.964,932.300,716.300
Pital,2016,0,0,0,0,18.000,45.000,36.000,500,3.100,7.500,6.200,500,0,0,0,0,3.000,7.500,6.000,500,4.400,12.500,11.000,400,0,0,0,0,0,0,0,0,28.500,72.500,59.200
Suaza,2016,0,0,0,0,18.720,55.000,45.000,416,0,0,0,0,543,1.250,970,560,6.456,15.000,13.450,480,0,0,0,0,0,0,0,0,2.780,4.250,3.250,855,28.499,75.500,62.670
Tarqui,2016,0,0,0,0,20.520,60.000,54.000,380,2.245,7.000,5.200,432,0,0,0,0,0,0,0,0,0,0,0,0,1.800,3.500,3.000,600,945,2.500,2.100,450,25.510,73.000,64.300
Pitalito,2016,0,0,0,0,140.400,455.000,390.000,360,49.300,67.000,58.000,850,4.237,4.100,3.852,1100,53.760,130.000,112.000,480,0,0,0,0,148,300,280,529,2.415,6.800,6.300,383,250.260,663.200,570.432
Acevedo,2016,0,0,0,0,3.500,12.000,9.800,357,0,0,0,0,45,60,50,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.545,12.060,9.850
Elias,2016,0,0,0,0,1.200,3.200,2.900,414,2.563,5.200,4.836,530,100,150,140,703,350,850,723,484,0,0,0,0,250,1.000,540,463,0,0,0,0,4.463,10.400,9.138
Isnos,2016,0,0,0,0,2.385,8.500,5.300,450,300,700,380,530,840,1.700,1.680,500,473,1.100,1.050,450,578,1.500,1.285,450,0,0,0,0,0,0,0,0,4.576,13.500,9.695
Oporapa,2016,0,0,0,0,3.500,12.000,10.000,350,280,550,512,547,315,650,605,521,2.000,4.000,3.720,538,0,0,0,0,0,0,0,,0,0,0,0,6.095,17.200,14.836
Palestina,2016,0,0,0,0,2.500,8.500,7.500,333,0,0,0,0,245,510,474,517,6.500,14.200,13.200,492,0,0,0,0,0,0,0,0,0,0,0,0,9.245,23.210,21.174
Saladoblanco,2016,0,0,0,0,600,2.000,1.850,324,0,0,0,500,0,0,0,0,22.500,50.000,45.000,500,0,0,0,0,0,0,0,0,0,0,0,0,23.100,52.000,46.850
San Agustín,2016,0,0,0,0,3.800,10.500,9.500,400,0,0,0,250,0,0,0,0,6.510,13.250,10.850,600,0,0,0,0,0,0,0,0,0,0,0,0,10.310,23.750,20.350
Timaná,2016,0,0,0,0,31.500,85.000,70.000,450,3.825,10.000,8.500,450,540,1.000,900,600,1.500,3.500,2.500,600,0,0,0,0,81,200,160,506,540,1.500,1.200,450,37.986,101.200,83.260
Neiva,2017,0,0,0,0,3.200.000,10.100.000,6.400.000,500,0,0,0,7737,360.000,600.000,480.000,750,7.500,20.000,15.000,500,3.200,8.000,6.400,500,16.875,50.000,37.500,450,0,0,0,0,3.587.575,10.778.000,6.938.900
Aipe,2017,0,0,0,0,4.150.000,12.500.000,9.771.000,425,0,0,0,4000,900.000,1.000.000,900.000,1000,18.000,20.000,18.000,1000,0,0,0,0,7.020,15.000,13.500,520,450.000,500.000,450.000,1000,5.525.020,14.035.000,11.152.500
Algeciras,2017,0,0,0,0,105.942,338.000,281.400,376,0,0,0,300,9.800,11.000,9.800,1000,1.800,2.000,1.800,1000,21.900,55.000,43.800,500,1.440,2.700,2.400,600,2.250,5.000,4.500,500,143.132,413.700,343.700
Baraya,2017,0,0,0,0,285.120,855.000,792.000,360,0,0,0,300,40.800,70.000,51.000,800,0,0,0,0,0,0,0,0,0,0,0,0,2.700,5.600,4.500,600,328.620,930.600,847.500
Campoalegre,2017,11.229.000,35.000.000,19.700.000,570,799.500,2.750.000,1.950.000,410,0,0,0,3310,98.600,170.000,145.000,680,3.100,3.500,3.100,1000,0,0,0,0,4.635,12.500,10.300,450,600,1.500,1.200,500,12.135.435,37.937.500,21.809.600
Colombia,2017,0,0,0,0,6.480,20.000,18.000,360,0,0,0,200,640,2.000,1.600,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.120,22.000,19.600
Hobo,2017,1.950.000,4.500.000,1.950.000,1.000,586.000,2.300.000,1.250.000,469,0,0,0,0,69.300,100.000,84.000,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.605.300,6.900.000,3.284.000
Iquira,2017,0,0,0,0,125.000,380.000,265.000,472,0,0,0,980,5.800,7.200,5.800,1000,0,0,0,0,5.440,8.600,6.800,800,0,0,0,0,0,0,0,0,136.240,395.800,277.600
Palermo,2017,0,0,0,0,987.000,3.654.000,2.209.800,447,15.000,15.600,12.500,1200,64.000,100.000,80.000,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066.000,3.769.600,2.302.300
Rivera,2017,0,0,0,0,693.000,2.300.000,1.540.000,450,0,0,0,400,170.000,200.000,170.000,1000,16.800,18.000,14.000,1200,0,0,0,0,4.350,10.500,8.700,500,3.750,10.000,7.500,500,887.900,2.538.500,1.740.200
Santa Maria,2017,0,0,0,0,6.600,20.000,16.500,400,0,0,0,500,0,0,0,0,0,0,0,0,12.036,30.000,25.500,472,0,0,0,0,0,0,0,0,18.636,50.000,42.000
Tello,2017,0,0,0,0,8.140,28.000,22.000,370,0,0,0,3000,5.400,7.000,5.400,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.150,1.400,1.150,1000,14.690,36.400,28.550
Teruel,2017,0,0,0,0,7.770,24.000,21.000,370,0,0,0,300,0,0,0,0,0,0,0,0,10.010,15.400,14.300,700,0,0,0,0,1.390,3.700,2.780,500,19.170,43.100,38.080
Villavieja,2017,0,0,0,0,2.355.200,6.400.000,5.888.000,400,268.905,390.000,384.150,700,35.280,80.000,78.400,450,0,0,0,0,0,0,0,0,35.820,120.000,119.400,300,286.560,240.000,238.800,1200,2.981.765,7.230.000,6.708.750
Yaguará ,2017,9.390.350,34.500.000,17.230.000,545,324.000,1.800.000,1.080.000,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.714.350,36.300.000,18.310.000
La PLata,2017,0,0,0,0,93.015,340.000,265.000,351,5.610,20.000,17.000,330,22.989,35.000,28.700,801,2.499,3.600,3.100,806,8.546,25.600,18.700,457,100,230,200,500,1.479,3.000,2.670,554,134.237,427.430,335.370
La Argentina,2017,0,0,0,0,29.200,80.000,73.000,400,0,0,0,100,5.330,10.000,8.200,650,0,0,0,0,11.250,25.000,22.500,500,0,0,0,0,0,0,0,0,45.780,115.000,103.700
Nátaga,2017,0,0,0,0,5.000,16.000,12.500,400,0,0,0,200,2.310,5.000,3.850,600,0,0,0,0,650,1.500,1.300,500,0,0,0,0,0,0,0,0,7.960,22.500,17.650
Paicol,2017,0,0,0,0,8.994,35.000,32.800,274,0,0,0,604,6.300,16.000,14.000,450,1.050,3.200,2.100,500,0,0,0,0,1.428,7.500,4.200,340,0,0,0,0,17.772,61.700,53.100
Tesalia,2017,0,0,0,0,36.080,110.000,88.000,410,0,0,0,100,2.000,5.000,4.000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.080,115.000,92.000
Garzón,2017,0,0,0,0,2.484.000,6.900.000,6.210.000,400,140.800,440.000,352.000,400,504.000,560.000,504.000,1000,468.000,520.000,468.000,1000,61.600,185.000,154.000,400,270.000,600.000,540.000,500,400.000,560.000,500.000,800,4.328.400,9.765.000,8.728.000
Agrado,2017,0,0,0,0,4.950,14.000,11.000,450,0,0,0,203,3.600,4.700,4.000,900,0,0,0,0,0,0,0,0,2.560,4.000,3.200,800,0,0,0,0,11.110,22.700,18.200
Altamira,2017,0,0,0,0,33.500,123.000,67.000,500,28.700,93.500,57.400,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.200,216.500,124.400
Gigante,2017,0,0,0,0,1.216.000,4.000.000,3.040.000,400,218.880,720.000,547.200,400,0,0,0,0,0,0,0,0,0,0,0,0,87.400,230.000,174.800,500,51.680,85.000,64.600,800,1.573.960,5.035.000,3.826.600
Guadalupe,2017,0,0,0,0,111.265,345.000,289.000,385,4.928,12.000,11.000,448,101.000,250.000,200.000,505,432,1.200,900,480,3.060,7.500,6.800,450,304,1.000,800,380,2.046,3.500,3.300,620,223.035,620.200,511.800
Pital,2017,0,0,0,0,22.360,52.000,44.720,500,4.600,12.500,11.500,400,7.300,8.000,7.300,1000,0,0,0,0,3.100,7.200,6.200,500,0,0,0,0,0,0,0,0,37.360,79.700,69.720
Suaza,2017,0,0,0,0,19.200,55.000,48.000,400,0,0,0,400,0,0,0,0,970,1.000,970,1000,6.738,13.580,13.750,490,0,0,0,0,2.952,4.270,3.690,800,29.860,73.850,66.410
Tarqui,2017,0,0,0,0,22.400,60.000,56.000,400,0,0,0,400,4.104,5.900,5.130,800,0,0,0,0,0,0,0,0,1.450,3.000,2.900,500,1.103,2.800,2.450,450,29.057,71.700,66.480
Pitalito,2017,0,0,0,0,143.280,455.000,398.000,360,0,0,0,300,49.300,67.000,58.000,850,4.237,4.100,3.852,1100,57.715,125.000,119.000,485,148,300,280,530,2.415,6.800,6.355,380,257.096,658.200,585.487
Acevedo,2017,0,0,0,0,57.750,120.000,105.000,550,0,0,0,8010,36.000,140.000,80.000,450,1.200,5.000,3.000,400,0,0,0,0,5.000,20.000,10.000,500,0,0,0,0,99.950,285.000,198.000
Elias,2017,0,0,0,0,1.634,4.500,3.800,430,0,0,0,15350,2.491,5.000,4.700,530,98,150,140,703,600,1.500,1.200,500,162,500,350,463,0,0,0,0,4.985,11.650,10.190
Isnos,2017,0,0,0,0,3.675,4.500,7.350,500,890,4.000,1.780,500,528,900,880,600,1.183,5.300,2.150,550,1.095,5.200,1.990,550,0,0,0,0,0,0,0,0,7.370,19.900,14.150
Oporapa,2017,0,0,0,0,385,12.000,11.000,35,0,0,0,120,280,550,512,547,313,670,600,521,2.287,4.800,4.250,538,0,0,0,0,0,0,0,0,3.264,18.020,16.362
Palestina,2017,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,131.250,250.000,175.000,750,0,0,0,0,0,0,0,0,131.250,250.000,175.000
Saladoblanco,2017,0,0,0,0,50.000,240.000,200.000,250,0,0,0,200,13.050,50.000,45.000,290,225,500,450,500,1.800,5.000,4.500,400,0,0,0,0,1.120,3.000,2.800,400,66.195,298.500,252.750
