Municipio,Denominación,URL
AGRADO,CASA HACIENDA EL TABOR,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/1-CASA-HACIENDA-EL-TABOR-AGRADO.pdf
AGRADO,CAPILLA DE TAPERAS,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/2-CAPILLA-DE-TAPERAS-AGRADO.pdf
AGRADO,CASA HACIENDA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/3-CASA-HACIENDA-BUENAVISTA-AGRADO.pdf
AGRADO,TEMPLO PARROQUIAL,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/4-TEMPLO-PARROQUIAL-AGRADO.pdf
AGRADO,CASA CURAL AGRADO,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/5-CASA-CURAL-AGRADO.pdf
AIPE,TEMPLO PARROQUIAL,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/6-TEMPLO-PARROQUIAL-AIPE-ACTUALIZADA.pdf
AIPE,PIEDRAPINTADA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/7-PIEDRAPINTADA-AIPE.pdf
ALTAMIRA,COLEGIO,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/8-COLEGIO-ALTAMIRA.pdf
CAMPOALEGRE,CAPILLA DE OTAS,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/9-CAPILLA-DE-OTAS-CAMPOALEGRE.pdf
ELIAS,TEMPLO PARROQUIAL,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/10-TEMPLO-PARROQUIAL-ELIAS.pdf
ELIAS,SAN LUIS GONZAGA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/11-SAN-LUIS-GONZAGA-ELIAS.pdf
GARZON,CATEDRAL,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/12-CATEDRAL-GARZON.pdf
GARZON,LA JAGUA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/13-LA-JAGUA-GARZON.pdf
GARZON,EL ROSARIO,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/14-EL-ROSARIO-GARZON.pdf
GARZON,NAZARETH,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/15-NAZARETH-GARZON.pdf
GARZON,PALACIO EPISCOPAL,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/16-PALACIO-EPISCOPAL-GARZON.pdf
GARZON,MOLINO EL TRIUNFO,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/17-MOLINO-EL-TRIUNFO-GARZON.pdf
GARZON,CEMENTERIO,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/19-CEMENTERIO-GARZON.pdf
GIGANTE,IGLESIA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/20-IGLESIA-GIGANTE.pdf
GIGANTE,CAPILLA DE RIOLORO,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/21-CAPILLA-DE-RIOLORO-GIGANTE.pdf
GIGANTE,CASA EUSTAQUIO ALVAREZ,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/22-CASA-EUSTAQUIO-ALVAREZ-GIGANTE.pdf
GIGANTE,CASA HACIENDA EL ANCON,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/23-CASA-HACIENDA-EL-ANCON-GIGANTE.pdf
GUADALUPE,IGLESIA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/25-IGLESIA-GUADALUPE.pdf
GUADALUPE,CAPILLA SANTA LUCIA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/26-CAPILLA-SANTA-LUCIA-GUADALUPE.pdf
LA PLATA,TEMPLO PARROQUIAL,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/29-TEMPLO-PARROQUIAL-LA-PLATA.pdf
LA PLATA,TEMPLO MONSERRATE,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/30-TEMPLO-MONSERRATE-LA-PLATA.pdf
LA PLATA,MAUSOLEO PADRE RAMIREZ,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/31-MAUSOLEO-PADRE-RAMIREZ-LA-PLATA.pdf
LA PLATA,CASA HACIENDA LA LINDOSA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/32-CASA-HACIENDA-LA-LINDOSA.pdf
LA PLATA,TEMPLO SAN ANDRES,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/33-TEMPLO-SAN-ANDRES-LA-PLATA.pdf
NATAGA,TEMPLO ANTIGUO,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/34-TEMPLO-ANTIGUO-NATAGA.pdf
NATAGA,SANTUARIO,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/35-SANTUARIO-NATAGA.pdf
NEIVA,MATAMUNDO,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/36-MATAMUNDO-NEIVA.pdf
VILLAVIEJA,CAPILLA SANTA BARBARA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/70-CAPILLA-SANTA-BARBARA-VILLAVIEJA.pdf
VILLAVIEJA,CASA CURAL ANTIGUA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/71-CASA-CURAL-ANTIGUA-VILLAVIEJA.pdf
VILLAVIEJA,HACIENDA BATEAS,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/71-HACIENDA-BATEAS-VILLAVIEJA.pdf
VILLAVIEJA,IGLESIA PARROQUIAL,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/73-IGLESIA-PARROQUIAL-VILLAVIEJA.pdf
VILLAVIEJA,ESTACION FERROCARRIL,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/74-ESTACION-FERROCARRIL-VILLAVIEJA.pdf
VILLAVIEJA,ESTACION FERROCARRIL POTOSI,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/75-ESTACION-FERROCARRIL-POTOSI-VILLAVIEJA.pdf
VILLAVIEJA,ESTACION FERROCARRIL GOLONDRINAS,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/76-ESTACION-FERROCARRIL-GOLONDRINAS-VILLAVIEJA.pdf
VILLAVIEJA,COLEGIO GABRIEL PLAZAS,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/77-COLEGIO-GABRIEL-PLAZAS-VILLAVIEJA.pdf
VILLAVIEJA,CASA DE FRANCISCO DE PAULA PLAZAS,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/78-CASA-DE-FRANCISCO-DE-PAULA-PLAZAS-VILLAVIEJA.pdf
VILLAVIEJA,PUENTE RIO CABRERA,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/79-PUENTE-RIO-CABRERA-VILLAVIEJA.pdf
YAGUARA,CASA NATAL ADRIANO PERDOMO,http://tempo.sirhuila.gov.co/wp-content/uploads/2021/11/81-CASA-NATAL-ADRIANO-PERDOMO-YAGUARA.pdf