DANE,MUNICIPIO,VIGENCIA,INDICADOR,CALIFICACIÓN
41006,ACEVEDO,2020,"0,8286",Incumplimiento bajo
41013,AGRADO,2020,"0,8687",Incumplimiento bajo
41020,ALGECIRAS,2020,"0,8257",Incumplimiento bajo
41026,ALTAMIRA,2020,"0,8464",Incumplimiento bajo
41078,BARAYA,2020,"0,9447",Incumplimiento bajo
41132,CAMPOALEGRE,2020,"0,9195",Incumplimiento bajo
41244,ELÍAS,2020,"0,8542",Incumplimiento bajo
41298,GARZÓN,2020,"0,9482",Incumplimiento bajo
41306,GIGANTE,2020,"0,8719",Incumplimiento bajo
41319,GUADALUPE,2020,"0,9455",Incumplimiento bajo
41349,HOBO,2020,"0,9449",Incumplimiento bajo
41359,ISNOS,2020,"0,8910",Incumplimiento bajo
41378,LA ARGENTINA,2020,"0,9455",Incumplimiento bajo
41396,LA PLATA,2020,"0,9349",Incumplimiento bajo
41503,OPORAPA,2020,"0,9171",Incumplimiento bajo
41518,PAICOL,2020,"0,9405",Incumplimiento bajo
41524,PALERMO,2020,"0,9067",Incumplimiento bajo
41530,PALESTINA,2020,"0,9426",Incumplimiento bajo
41615,RIVERA,2020,"0,8818",Incumplimiento bajo
41660,SALADOBLANCO,2020,"0,9033",Incumplimiento bajo
41676,SANTA MARÍA,2020,"0,8612",Incumplimiento bajo
41770,SUAZA,2020,"0,8984",Incumplimiento bajo
41791,TARQUI,2020,"0,9320",Incumplimiento bajo
41797,TESALIA,2020,"0,9443",Incumplimiento bajo
41799,TELLO,2020,"0,8847",Incumplimiento bajo
41872,VILLA VIEJA,2020,"0,8724",Incumplimiento bajo
41885,YAGUARÁ,2020,"0,8706",Incumplimiento bajo
41001,NEIVA,2019,"0,9054",Incumplimiento bajo
41006,ACEVEDO,2019,"0,9272",Incumplimiento bajo
41013,AGRADO,2019,"0,9125",Incumplimiento bajo
41244,ELÍAS,2019,"0,8449",Incumplimiento bajo
41306,GIGANTE,2019,"0,8193",Incumplimiento bajo
41319,GUADALUPE,2019,"0,9424",Incumplimiento bajo
41349,HOBO,2019,"0,9499",Incumplimiento bajo
41357,ÍQUIRA,2019,"0,8953",Incumplimiento bajo
41359,ISNOS,2019,"0,9488",Incumplimiento bajo
41483,NÁTAGA,2019,"0,9484",Incumplimiento bajo
41530,PALESTINA,2019,"0,9276",Incumplimiento bajo
41548,PITAL,2019,"0,9314",Incumplimiento bajo
41615,RIVERA,2019,"0,8728",Incumplimiento bajo
41872,VILLA VIEJA,2019,"0,9277",Incumplimiento bajo
41013,AGRADO,2018,"0,8327",Incumplimiento bajo
41016,AIPE,2018,"0,8259",Incumplimiento bajo
41020,ALGECIRAS,2018,"0,9387",Incumplimiento bajo
41026,ALTAMIRA,2018,"0,8464",Incumplimiento bajo
41078,BARAYA,2018,"0,8376",Incumplimiento bajo
41206,COLOMBIA,2018,"0,9489",Incumplimiento bajo
41306,GIGANTE,2018,"0,8901",Incumplimiento bajo
41319,GUADALUPE,2018,"0,9415",Incumplimiento bajo
41349,HOBO,2018,"0,9372",Incumplimiento bajo
41357,ÍQUIRA,2018,"0,8717",Incumplimiento bajo
41359,ISNOS,2018,"0,9309",Incumplimiento bajo
41396,LA PLATA,2018,"0,9360",Incumplimiento bajo
41503,OPORAPA,2018,"0,9472",Incumplimiento bajo
41518,PAICOL,2018,"0,9076",Incumplimiento bajo
41524,PALERMO,2018,"0,9379",Incumplimiento bajo
41530,PALESTINA,2018,"0,9282",Incumplimiento bajo
41615,RIVERA,2018,"0,9372",Incumplimiento bajo
41676,SANTA MARÍA,2018,"0,9124",Incumplimiento bajo
41791,TARQUI,2018,"0,8148",Incumplimiento bajo
41801,TERUEL,2018,"0,8548",Incumplimiento bajo
41807,TIMANA,2018,"0,9279",Incumplimiento bajo
41872,VILLA VIEJA,2018,"0,8786",Incumplimiento bajo
41885,YAGUARÁ,2018,"0,9283",Incumplimiento bajo
41006,ACEVEDO,2017,"0,8506",Incumplimiento bajo
41013,AGRADO,2017,"0,9024",Incumplimiento bajo
41016,AIPE,2017,"0,8659",Incumplimiento bajo
41020,ALGECIRAS,2017,"0,9060",Incumplimiento bajo
41078,BARAYA,2017,"0,8081",Incumplimiento bajo
41132,CAMPOALEGRE,2017,"0,9330",Incumplimiento bajo
41298,GARZÓN,2017,"0,9445",Incumplimiento bajo
41306,GIGANTE,2017,"0,8051",Incumplimiento bajo
41319,GUADALUPE,2017,"0,8557",Incumplimiento bajo
41349,HOBO,2017,"0,8278",Incumplimiento bajo
41359,ISNOS,2017,"0,8998",Incumplimiento bajo
41378,LA ARGENTINA,2017,"0,8642",Incumplimiento bajo
41396,LA PLATA,2017,"0,9294",Incumplimiento bajo
41503,OPORAPA,2017,"0,8480",Incumplimiento bajo
41518,PAICOL,2017,"0,8123",Incumplimiento bajo
41524,PALERMO,2017,"0,8943",Incumplimiento bajo
41548,PITAL,2017,"0,8651",Incumplimiento bajo
41660,SALADOBLANCO,2017,"0,8930",Incumplimiento bajo
41668,SAN AGUSTÍN,2017,"0,9323",Incumplimiento bajo
41770,SUAZA,2017,"0,8379",Incumplimiento bajo
41791,TARQUI,2017,"0,8798",Incumplimiento bajo
41799,TELLO,2017,"0,8994",Incumplimiento bajo
41801,TERUEL,2017,"0,8557",Incumplimiento bajo
41807,TIMANA,2017,"0,8904",Incumplimiento bajo
41006,ACEVEDO,2016,"0,8366",Incumplimiento bajo
41013,AGRADO,2016,"0,8666",Incumplimiento bajo
41016,AIPE,2016,"0,8623",Incumplimiento bajo
41020,ALGECIRAS,2016,"0,9162",Incumplimiento bajo
41026,ALTAMIRA,2016,"0,8728",Incumplimiento bajo
41206,COLOMBIA,2016,"0,8823",Incumplimiento bajo
41306,GIGANTE,2016,"0,8450",Incumplimiento bajo
41319,GUADALUPE,2016,"0,9239",Incumplimiento bajo
41349,HOBO,2016,"0,9217",Incumplimiento bajo
41357,ÍQUIRA,2016,"0,8634",Incumplimiento bajo
41359,ISNOS,2016,"0,9030",Incumplimiento bajo
41483,NÁTAGA,2016,"0,8011",Incumplimiento bajo
41524,PALERMO,2016,"0,8692",Incumplimiento bajo
41530,PALESTINA,2016,"0,8872",Incumplimiento bajo
41551,PITALITO,2016,"0,9436",Incumplimiento bajo
41660,SALADOBLANCO,2016,"0,9293",Incumplimiento bajo
41676,SANTA MARÍA,2016,"0,8160",Incumplimiento bajo
41770,SUAZA,2016,"0,9021",Incumplimiento bajo
41791,TARQUI,2016,"0,9230",Incumplimiento bajo
41797,TESALIA,2016,"0,9190",Incumplimiento bajo
41799,TELLO,2016,"0,8794",Incumplimiento bajo
41801,TERUEL,2016,"0,9452",Incumplimiento bajo
41807,TIMANA,2016,"0,9112",Incumplimiento bajo
41872,VILLA VIEJA,2016,"0,8537",Incumplimiento bajo
41885,YAGUARÁ,2016,"0,8775",Incumplimiento bajo
41001,NEIVA,2020,"0,9802",Cumplimiento óptimo
41016,AIPE,2020,"0,2674",Incumplimiento alto
41206,COLOMBIA,2020,"0,7973",Incumplimiento medio
41357,ÍQUIRA,2020,"0,7798",Incumplimiento medio
41483,NÁTAGA,2020,"0,9500",Cumplimiento óptimo
41548,PITAL,2020,"0,9638",Cumplimiento óptimo
41551,PITALITO,2020,"0,9564",Cumplimiento óptimo
41668,SAN AGUSTÍN,2020,"0,9679",Cumplimiento óptimo
41801,TERUEL,2020,"0,9508",Cumplimiento óptimo
41807,TIMANA,2020,"0,9614",Cumplimiento óptimo
41016,AIPE,2019,"0,9627",Cumplimiento óptimo
41020,ALGECIRAS,2019,"0,9556",Cumplimiento óptimo
41026,ALTAMIRA,2019,"0,9825",Cumplimiento óptimo
41078,BARAYA,2019,"0,9743",Cumplimiento óptimo
41132,CAMPOALEGRE,2019,"0,9844",Cumplimiento óptimo
41206,COLOMBIA,2019,"0,0000",Igual a 0
41298,GARZÓN,2019,"0,9695",Cumplimiento óptimo
41378,LA ARGENTINA,2019,"0,9828",Cumplimiento óptimo
41396,LA PLATA,2019,"0,7557",Incumplimiento medio
41503,OPORAPA,2019,"0,9653",Cumplimiento óptimo
41518,PAICOL,2019,"0,0000",Igual a 0
41524,PALERMO,2019,"0,9706",Cumplimiento óptimo
41551,PITALITO,2019,"0,9507",Cumplimiento óptimo
41660,SALADOBLANCO,2019,"0,9748",Cumplimiento óptimo
41668,SAN AGUSTÍN,2019,"0,9873",Cumplimiento óptimo
41676,SANTA MARÍA,2019,"0,9837",Cumplimiento óptimo
41770,SUAZA,2019,"0,9854",Cumplimiento óptimo
41791,TARQUI,2019,"0,9798",Cumplimiento óptimo
41797,TESALIA,2019,"0,9628",Cumplimiento óptimo
41799,TELLO,2019,"0,9765",Cumplimiento óptimo
41801,TERUEL,2019,"0,9717",Cumplimiento óptimo
41807,TIMANA,2019,"0,9525",Cumplimiento óptimo
41885,YAGUARÁ,2019,"0,9720",Cumplimiento óptimo
41001,NEIVA,2018,"0,9699",Cumplimiento óptimo
41006,ACEVEDO,2018,"0,5925",Incumplimiento medio
41132,CAMPOALEGRE,2018,"0,9739",Cumplimiento óptimo
41244,ELÍAS,2018,"0,6026",Incumplimiento medio
41298,GARZÓN,2018,"0,9818",Cumplimiento óptimo
41378,LA ARGENTINA,2018,"0,9646",Cumplimiento óptimo
41483,NÁTAGA,2018,"0,9869",Cumplimiento óptimo
41548,PITAL,2018,"0,9542",Cumplimiento óptimo
41551,PITALITO,2018,"0,9622",Cumplimiento óptimo
41660,SALADOBLANCO,2018,"0,9909",Cumplimiento óptimo
41668,SAN AGUSTÍN,2018,"0,9686",Cumplimiento óptimo
41770,SUAZA,2018,"0,9525",Cumplimiento óptimo
41797,TESALIA,2018,"0,9847",Cumplimiento óptimo
41799,TELLO,2018,"0,9729",Cumplimiento óptimo
41001,NEIVA,2017,"0,9706",Cumplimiento óptimo
41026,ALTAMIRA,2017,"0,7544",Incumplimiento medio
41206,COLOMBIA,2017,"0,7518",Incumplimiento medio
41244,ELÍAS,2017,"0,5773",Incumplimiento medio
41357,ÍQUIRA,2017,"0,7784",Incumplimiento medio
41483,NÁTAGA,2017,"0,7023",Incumplimiento medio
41530,PALESTINA,2017,"0,7704",Incumplimiento medio
41551,PITALITO,2017,"0,9644",Cumplimiento óptimo
41615,RIVERA,2017,"0,7925",Incumplimiento medio
41676,SANTA MARÍA,2017,"0,7965",Incumplimiento medio
41797,TESALIA,2017,"0,9643",Cumplimiento óptimo
41872,VILLA VIEJA,2017,"0,5863",Incumplimiento medio
41885,YAGUARÁ,2017,"0,9630",Cumplimiento óptimo
41001,NEIVA,2016,"0,9750",Cumplimiento óptimo
41078,BARAYA,2016,"0,6920",Incumplimiento medio
41132,CAMPOALEGRE,2016,"0,9633",Cumplimiento óptimo
41244,ELÍAS,2016,"0,5075",Incumplimiento medio
41298,GARZÓN,2016,"0,9817",Cumplimiento óptimo
41378,LA ARGENTINA,2016,"0,9548",Cumplimiento óptimo
41396,LA PLATA,2016,"0,9587",Cumplimiento óptimo
41503,OPORAPA,2016,"0,0000",Igual a 0
41518,PAICOL,2016,"0,9666",Cumplimiento óptimo
41548,PITAL,2016,"0,7904",Incumplimiento medio
41615,RIVERA,2016,"0,7018",Incumplimiento medio
41668,SAN AGUSTÍN,2016,"0,9720",Cumplimiento óptimo