Codigo DANE,Municipio,VIGENCIA,Dotaciones Iniciales,Nuevo IDF 2019,Rango 
41349,HOBO,2019,G3,"57,6500",2. Riesgo (>=40 y <60)
41013,AGRADO,2019,G3,"67,7500",3. Vulnerable (>=60 y <70)
41319,GUADALUPE,2019,G5,"65,7100",3. Vulnerable (>=60 y <70)
41359,ISNOS,2019,G5,"55,6100",2. Riesgo (>=40 y <60)
41078,BARAYA,2019,G3,"64,6800",3. Vulnerable (>=60 y <70)
41797,TESALIA,2019,G1,"65,5600",3. Vulnerable (>=60 y <70)
41020,ALGECIRAS,2019,G4,"62,4200",3. Vulnerable (>=60 y <70)
41668,SAN AGUSTIN,2019,G4,"63,3800",3. Vulnerable (>=60 y <70)
41006,ACEVEDO,2019,G5,"66,2800",3. Vulnerable (>=60 y <70)
41396,LA PLATA,2019,G4,"68,5100",3. Vulnerable (>=60 y <70)
41615,RIVERA,2019,G2,"64,0000",3. Vulnerable (>=60 y <70)
41770,SUAZA,2019,G4,"69,8800",3. Vulnerable (>=60 y <70)
41524,PALERMO,2019,G1,"75,7300",4. Solvente (>=70 y <80)
41518,PAICOL,2019,G2,"60,4000",3. Vulnerable (>=60 y <70)
41885,YAGUARA,2019,G1,"57,6200",2. Riesgo (>=40 y <60)
41660,SALADOBLANCO,2019,G4,"61,5300",3. Vulnerable (>=60 y <70)
41016,AIPE,2019,G2,"64,3200",3. Vulnerable (>=60 y <70)
41807,TIMANA,2019,G4,"66,0500",3. Vulnerable (>=60 y <70)
41872,VILLAVIEJA,2019,G3,"54,3400",2. Riesgo (>=40 y <60)
41483,NATAGA,2019,G4,"66,3000",3. Vulnerable (>=60 y <70)
41551,PITALITO,2019,G2,"66,4100",3. Vulnerable (>=60 y <70)
41548,PITAL,2019,G4,"54,5800",2. Riesgo (>=40 y <60)
41298,GARZON,2019,G3,"58,1000",2. Riesgo (>=40 y <60)
41378,LA ARGENTINA,2019,G5,"58,7500",2. Riesgo (>=40 y <60)
41530,PALESTINA,2019,G5,"61,8900",3. Vulnerable (>=60 y <70)
41791,TARQUI,2019,G5,"54,2600",2. Riesgo (>=40 y <60)
41206,COLOMBIA,2019,G5,"65,9100",3. Vulnerable (>=60 y <70)
41799,TELLO,2019,G3,"61,1800",3. Vulnerable (>=60 y <70)
41026,ALTAMIRA,2019,G2,"59,1700",2. Riesgo (>=40 y <60)
41001,NEIVA,2019,G1,"57,2700",2. Riesgo (>=40 y <60)
41244,ELIAS,2019,G4,"54,4000",2. Riesgo (>=40 y <60)
41132,CAMPOALEGRE,2019,G2,"64,8800",3. Vulnerable (>=60 y <70)
41801,TERUEL,2019,G4,"59,9900",2. Riesgo (>=40 y <60)
41676,SANTA MARIA,2019,G4,"54,9900",2. Riesgo (>=40 y <60)
41357,IQUIRA,2019,G5,"56,5900",2. Riesgo (>=40 y <60)
41503,OPORAPA,2019,G5,"58,9900",2. Riesgo (>=40 y <60)
41306,GIGANTE,2019,G2,"60,3300",3. Vulnerable (>=60 y <70)
41349,HOBO,2020,G3,"67,7068",3. Vulnerable (>=60 y <70)
41013,AGRADO,2020,G3,"63,5902",3. Vulnerable (>=60 y <70)
41319,GUADALUPE,2020,G4,"62,9996",3. Vulnerable (>=60 y <70)
41359,ISNOS,2020,G5,"62,4175",3. Vulnerable (>=60 y <70)
41078,BARAYA,2020,G3,"61,3282",3. Vulnerable (>=60 y <70)
41797,TESALIA,2020,G3,"61,2240",3. Vulnerable (>=60 y <70)
41020,ALGECIRAS,2020,G4,"61,1846",3. Vulnerable (>=60 y <70)
41668,SAN AGUSTIN,2020,G5,"60,9598",3. Vulnerable (>=60 y <70)
41006,ACEVEDO,2020,G4,"60,9183",3. Vulnerable (>=60 y <70)
41396,LA PLATA,2020,G4,"60,9155",3. Vulnerable (>=60 y <70)
41615,RIVERA,2020,G2,"60,3065",3. Vulnerable (>=60 y <70)
41770,SUAZA,2020,G5,"59,8937",2. Riesgo (>=40 y <60)
41524,PALERMO,2020,G1,"59,5339",2. Riesgo (>=40 y <60)
41518,PAICOL,2020,G2,"59,3778",2. Riesgo (>=40 y <60)
41885,YAGUARA,2020,G1,"58,1957",2. Riesgo (>=40 y <60)
41660,SALADOBLANCO,2020,G5,"56,6441",2. Riesgo (>=40 y <60)
41016,AIPE,2020,G1,"56,5056",2. Riesgo (>=40 y <60)
41807,TIMANA,2020,G4,"55,9328",2. Riesgo (>=40 y <60)
41872,VILLAVIEJA,2020,G3,"55,6055",2. Riesgo (>=40 y <60)
41483,NATAGA,2020,G4,"54,8720",2. Riesgo (>=40 y <60)
41551,PITALITO,2020,G2,"54,4611",2. Riesgo (>=40 y <60)
41548,PITAL,2020,G4,"54,3453",2. Riesgo (>=40 y <60)
41298,GARZON,2020,G3,"54,0956",2. Riesgo (>=40 y <60)
41378,LA ARGENTINA,2020,G5,"53,9390",2. Riesgo (>=40 y <60)
41530,PALESTINA,2020,G5,"52,7425",2. Riesgo (>=40 y <60)
41791,TARQUI,2020,G5,"52,5921",2. Riesgo (>=40 y <60)
41206,COLOMBIA,2020,G4,"52,4077",2. Riesgo (>=40 y <60)
41799,TELLO,2020,G3,"51,6802",2. Riesgo (>=40 y <60)
41026,ALTAMIRA,2020,G2,"51,6629",2. Riesgo (>=40 y <60)
41001,NEIVA,2020,G1,"50,9973",2. Riesgo (>=40 y <60)
41244,ELIAS,2020,G4,"50,3599",2. Riesgo (>=40 y <60)
41132,CAMPOALEGRE,2020,G2,"50,3331",2. Riesgo (>=40 y <60)
41801,TERUEL,2020,G4,"50,2510",2. Riesgo (>=40 y <60)
41676,SANTA MARIA,2020,G4,"48,9621",2. Riesgo (>=40 y <60)
41357,IQUIRA,2020,G5,"46,1750",2. Riesgo (>=40 y <60)
41503,OPORAPA,2020,G5,"45,7660",2. Riesgo (>=40 y <60)
41306,GIGANTE,2020,G2,"44,4735",2. Riesgo (>=40 y <60)